compartments,abundance,growth_rate,reactions,metabolites,taxon,tradeoff,sample_id
Lactobacillus,0.0014571948998178509,0.0033383955831550478,3241,1907,Lactobacillus,0.5,Cancer8
Marvinbryantia,0.0010928961748633882,0.005807008040196386,1996,1375,Marvinbryantia,0.5,Cancer8
Megasphaera,0.07486338797814208,0.17150994127891955,1206,1068,Megasphaera,0.5,Cancer8
Odoribacter,0.0023679417122040077,0.005424893449547962,2526,1594,Odoribacter,0.5,Cancer8
Parabacteroides,0.01584699453551913,0.036305024430809636,2870,1747,Parabacteroides,0.5,Cancer8
Paraprevotella,0.0003642987249544627,0.0008346009438341137,1968,1391,Paraprevotella,0.5,Cancer8
Roseburia,0.014207650273224046,0.0325493319821979,2357,1567,Roseburia,0.5,Cancer8
Streptococcus,0.017122040072859748,0.039226117972827684,2896,1822,Streptococcus,0.5,Cancer8
Subdoligranulum,0.03770491803278689,0.08638092153395911,1731,1301,Subdoligranulum,0.5,Cancer8
Acidaminococcus,0.005100182149362478,0.009345949218720994,1278,1090,Acidaminococcus,0.4,Cancer8
Actinomyces,0.0016393442622950822,0.0030040551082925,2445,1643,Actinomyces,0.4,Cancer8
Akkermansia,0.003642987249544627,0.013507400970735387,2274,1386,Akkermansia,0.4,Cancer8
Alistipes,0.0012750455373406195,0.0023364873080874283,2650,1613,Alistipes,0.4,Cancer8
Anaerofustis,0.0007285974499089254,0.008043408142926799,986,922,Anaerofustis,0.4,Cancer8
Anaerostipes,0.06320582877959928,0.11582301352755764,2034,1491,Anaerostipes,0.4,Cancer8
Bacteroides,0.0870673952641166,0.15954870451334885,3307,1887,Bacteroides,0.4,Cancer8
Bifidobacterium,0.1759562841530055,0.3224352480321835,3108,1734,Bifidobacterium,0.4,Cancer8
Blautia,0.19981785063752283,0.36616093901694746,3108,1818,Blautia,0.4,Cancer8
Butyricicoccus,0.0016393442622950822,0.01039717861995855,1915,1442,Butyricicoccus,0.4,Cancer8
Catenibacterium,0.055555555555555566,0.10180408970088828,1660,1266,Catenibacterium,0.4,Cancer8
Collinsella,0.09854280510018217,0.180577090254206,2629,1587,Collinsella,0.4,Cancer8
Desulfovibrio,0.015482695810564665,0.02837163155586705,1739,1384,Desulfovibrio,0.4,Cancer8
Dialister,0.02258652094717669,0.04138920368162217,1187,1056,Dialister,0.4,Cancer8
Dorea,0.05537340619307833,0.10147030579958986,2368,1614,Dorea,0.4,Cancer8
Eggerthella,0.0023679417122040077,0.004339190710141201,1214,1061,Eggerthella,0.4,Cancer8
Erysipelatoclostridium,0.0012750455373406195,0.0023364873080808494,2826,1639,Erysipelatoclostridium,0.4,Cancer8
Faecalibacterium,0.020036429872495452,0.03671622907230328,1986,1472,Faecalibacterium,0.4,Cancer8
Flavonifractor,0.002003642987249545,0.009281582068025934,1207,1105,Flavonifractor,0.4,Cancer8
Fusobacterium,0.0012750455373406195,0.0023364873080629835,2197,1602,Fusobacterium,0.4,Cancer8
Gordonibacter,0.0005464480874316941,0.004351581636628578,958,908,Gordonibacter,0.4,Cancer8
Holdemania,0.0005464480874316941,0.004516931490223794,1744,1218,Holdemania,0.4,Cancer8
Hungatella,0.0014571948998178509,0.0026702712080793607,1426,1211,Hungatella,0.4,Cancer8
Intestinibacter,0.00801457194899818,0.015586613558122644,1381,1161,Intestinibacter,0.4,Cancer8
Lachnoclostridium,0.009836065573770494,0.018024330635658847,3174,1970,Lachnoclostridium,0.4,Cancer8
Lactobacillus,0.0014571948998178509,0.0026702712081979668,3241,1907,Lactobacillus,0.4,Cancer8
Marvinbryantia,0.0010928961748633882,0.006263454240330588,1996,1375,Marvinbryantia,0.4,Cancer8
Megasphaera,0.07486338797814208,0.13718518317045975,1206,1068,Megasphaera,0.4,Cancer8
Odoribacter,0.0023679417122040077,0.004339190710143076,2526,1594,Odoribacter,0.4,Cancer8
Parabacteroides,0.01584699453551913,0.029039199357193037,2870,1747,Parabacteroides,0.4,Cancer8
Paraprevotella,0.0003642987249544627,0.0006675678172979108,1968,1391,Paraprevotella,0.4,Cancer8
Roseburia,0.014207650273224046,0.02603514425131464,2357,1567,Roseburia,0.4,Cancer8
Streptococcus,0.017122040072859748,0.031375686661740274,2896,1822,Streptococcus,0.4,Cancer8
Subdoligranulum,0.03770491803278689,0.06909326743827598,1731,1301,Subdoligranulum,0.4,Cancer8
Acidaminococcus,0.005100182149362478,0.007009285390829119,1278,1090,Acidaminococcus,0.30000000000000004,Cancer8
Actinomyces,0.0016393442622950822,0.002252984590881137,2445,1643,Actinomyces,0.30000000000000004,Cancer8
Akkermansia,0.003642987249544627,0.010446225363406468,2274,1386,Akkermansia,0.30000000000000004,Cancer8
Alistipes,0.0012750455373406195,0.0017523213493569531,2650,1613,Alistipes,0.30000000000000004,Cancer8
Anaerofustis,0.0007285974499089254,0.006081372533911368,986,922,Anaerofustis,0.30000000000000004,Cancer8
Anaerostipes,0.06320582877959928,0.0868650725177428,2034,1491,Anaerostipes,0.30000000000000004,Cancer8
Bacteroides,0.0870673952641166,0.11965851488090155,3307,1887,Bacteroides,0.30000000000000004,Cancer8
Bifidobacterium,0.1759562841530055,0.2418203459705004,3108,1734,Bifidobacterium,0.30000000000000004,Cancer8
Blautia,0.19981785063752283,0.274613788332095,3108,1818,Blautia,0.30000000000000004,Cancer8
Butyricicoccus,0.0016393442622950822,0.0071319475918210215,1915,1442,Butyricicoccus,0.30000000000000004,Cancer8
Catenibacterium,0.055555555555555566,0.07635114443339089,1660,1266,Catenibacterium,0.30000000000000004,Cancer8
Collinsella,0.09854280510018217,0.1354294070089482,2629,1587,Collinsella,0.30000000000000004,Cancer8
Desulfovibrio,0.015482695810564665,0.021278187792840707,1739,1384,Desulfovibrio,0.30000000000000004,Cancer8
Dialister,0.02258652094717669,0.0310411210155238,1187,1056,Dialister,0.30000000000000004,Cancer8
Dorea,0.05537340619307833,0.07610081281174269,2368,1614,Dorea,0.30000000000000004,Cancer8
Eggerthella,0.0023679417122040077,0.0032543110759451423,1214,1061,Eggerthella,0.30000000000000004,Cancer8
Erysipelatoclostridium,0.0012750455373406195,0.0017523213493313944,2826,1639,Erysipelatoclostridium,0.30000000000000004,Cancer8
Faecalibacterium,0.020036429872495452,0.027536478319878772,1986,1472,Faecalibacterium,0.30000000000000004,Cancer8
Flavonifractor,0.002003642987249545,0.00837414953818921,1207,1105,Flavonifractor,0.30000000000000004,Cancer8
Fusobacterium,0.0012750455373406195,0.0017523213494148168,2197,1602,Fusobacterium,0.30000000000000004,Cancer8
Gordonibacter,0.0005464480874316941,0.004827003173052574,958,908,Gordonibacter,0.30000000000000004,Cancer8
Holdemania,0.0005464480874316941,0.003081937476358699,1744,1218,Holdemania,0.30000000000000004,Cancer8
Hungatella,0.0014571948998178509,0.0020026529698756604,1426,1211,Hungatella,0.30000000000000004,Cancer8
Intestinibacter,0.00801457194899818,0.011697085543116222,1381,1161,Intestinibacter,0.30000000000000004,Cancer8
Lachnoclostridium,0.009836065573770494,0.013517907539359192,3174,1970,Lachnoclostridium,0.30000000000000004,Cancer8
Lactobacillus,0.0014571948998178509,0.002002652970499941,3241,1907,Lactobacillus,0.30000000000000004,Cancer8
Marvinbryantia,0.0010928961748633882,0.0047413959460316695,1996,1375,Marvinbryantia,0.30000000000000004,Cancer8
Megasphaera,0.07486338797814208,0.10288629632636123,1206,1068,Megasphaera,0.30000000000000004,Cancer8
Odoribacter,0.0023679417122040077,0.0032543110758593984,2526,1594,Odoribacter,0.30000000000000004,Cancer8
Parabacteroides,0.01584699453551913,0.02177885103488973,2870,1747,Parabacteroides,0.30000000000000004,Cancer8
Paraprevotella,0.0003642987249544627,0.0005006632485591288,1968,1391,Paraprevotella,0.30000000000000004,Cancer8
Roseburia,0.014207650273224046,0.019525866445047602,2357,1567,Roseburia,0.30000000000000004,Cancer8
Streptococcus,0.017122040072859748,0.02353117238242664,2896,1822,Streptococcus,0.30000000000000004,Cancer8
Subdoligranulum,0.03770491803278689,0.05181864556760763,1731,1301,Subdoligranulum,0.30000000000000004,Cancer8
Acidaminococcus,0.005100182149362478,0.0046688409987142455,1278,1090,Acidaminococcus,0.2,Cancer8
Actinomyces,0.0016393442622950822,0.0015006988941150827,2445,1643,Actinomyces,0.2,Cancer8
Akkermansia,0.003642987249544627,0.00951708087282594,2274,1386,Akkermansia,0.2,Cancer8
Alistipes,0.0012750455373406195,0.001167210252489461,2650,1613,Alistipes,0.2,Cancer8
Anaerofustis,0.0007285974499089254,0.007831024143109426,986,922,Anaerofustis,0.2,Cancer8
Anaerostipes,0.06320582877959928,0.05786027951099957,2034,1491,Anaerostipes,0.2,Cancer8
Bacteroides,0.0870673952641166,0.07970378561048681,3307,1887,Bacteroides,0.2,Cancer8
Bifidobacterium,0.1759562841530055,0.1610750144303776,3108,1734,Bifidobacterium,0.2,Cancer8
Blautia,0.19981785063752283,0.18291852052776342,3108,1818,Blautia,0.2,Cancer8
Butyricicoccus,0.0016393442622950822,0.010566265560894697,1915,1442,Butyricicoccus,0.2,Cancer8
Catenibacterium,0.055555555555555566,0.050857018017270876,1660,1266,Catenibacterium,0.2,Cancer8
Collinsella,0.09854280510018217,0.09020867785505583,2629,1587,Collinsella,0.2,Cancer8
Desulfovibrio,0.015482695810564665,0.014173267315991136,1739,1384,Desulfovibrio,0.2,Cancer8
Dialister,0.02258652094717669,0.020676295849264,1187,1056,Dialister,0.2,Cancer8
Dorea,0.05537340619307833,0.05069027369424504,2368,1614,Dorea,0.2,Cancer8
Eggerthella,0.0023679417122040077,0.0021676761812333754,1214,1061,Eggerthella,0.2,Cancer8
Erysipelatoclostridium,0.0012750455373406195,0.0011672102524367851,2826,1639,Erysipelatoclostridium,0.2,Cancer8
Faecalibacterium,0.020036429872495452,0.018341875349456725,1986,1472,Faecalibacterium,0.2,Cancer8
Flavonifractor,0.002003642987249545,0.008212005635428784,1207,1105,Flavonifractor,0.2,Cancer8
Fusobacterium,0.0012750455373406195,0.0011672102526231827,2197,1602,Fusobacterium,0.2,Cancer8
Gordonibacter,0.0005464480874316941,0.004218387321343825,958,908,Gordonibacter,0.2,Cancer8
Holdemania,0.0005464480874316941,0.004060417324452222,1744,1218,Holdemania,0.2,Cancer8
Hungatella,0.0014571948998178509,0.001333954572815315,1426,1211,Hungatella,0.2,Cancer8
Intestinibacter,0.00801457194899818,0.009708936986982795,1381,1161,Intestinibacter,0.2,Cancer8
Lachnoclostridium,0.009836065573770494,0.00900419335442668,3174,1970,Lachnoclostridium,0.2,Cancer8
Lactobacillus,0.0014571948998178509,0.0013339545741160202,3241,1907,Lactobacillus,0.2,Cancer8
Marvinbryantia,0.0010928961748633882,0.005155379900215505,1996,1375,Marvinbryantia,0.2,Cancer8
Megasphaera,0.07486338797814208,0.0689269291069545,1206,1068,Megasphaera,0.2,Cancer8
Odoribacter,0.0023679417122040077,0.0021676761810488156,2526,1594,Odoribacter,0.2,Cancer8
Parabacteroides,0.01584699453551913,0.014506755958396416,2870,1747,Parabacteroides,0.2,Cancer8
Paraprevotella,0.0003642987249544627,0.00033348865154960334,1968,1391,Paraprevotella,0.2,Cancer8
Roseburia,0.014207650273224046,0.013006057066055886,2357,1567,Roseburia,0.2,Cancer8
Streptococcus,0.017122040072859748,0.01567396620774247,2896,1822,Streptococcus,0.2,Cancer8
Subdoligranulum,0.03770491803278689,0.034754986821223195,1731,1301,Subdoligranulum,0.2,Cancer8
Acidaminococcus,0.005100182149362478,0.0023232617321986625,1278,1090,Acidaminococcus,0.1,Cancer8
Actinomyces,0.0016393442622950822,0.0007467631616423205,2445,1643,Actinomyces,0.1,Cancer8
Akkermansia,0.003642987249544627,0.009770390061293426,2274,1386,Akkermansia,0.1,Cancer8
Alistipes,0.0012750455373406195,0.0005808178411821523,2650,1613,Alistipes,0.1,Cancer8
Anaerofustis,0.0007285974499089254,0.005925501669963726,986,922,Anaerofustis,0.1,Cancer8
Anaerostipes,0.06320582877959928,0.02879183596589334,2034,1491,Anaerostipes,0.1,Cancer8
Bacteroides,0.0870673952641166,0.03966138237306139,3307,1887,Bacteroides,0.1,Cancer8
Bifidobacterium,0.1759562841530055,0.08015248757942496,3108,1734,Bifidobacterium,0.1,Cancer8
Blautia,0.19981785063752283,0.09102202774257878,3108,1818,Blautia,0.1,Cancer8
Butyricicoccus,0.0016393442622950822,0.008022996392521943,1915,1442,Butyricicoccus,0.1,Cancer8
Catenibacterium,0.055555555555555566,0.025306948070097316,1660,1266,Catenibacterium,0.1,Cancer8
Collinsella,0.09854280510018217,0.044888715604479046,2629,1587,Collinsella,0.1,Cancer8
Desulfovibrio,0.015482695810564665,0.0070527570962781545,1739,1384,Desulfovibrio,0.1,Cancer8
Dialister,0.02258652094717669,0.010288728150558656,1187,1056,Dialister,0.1,Cancer8
Dorea,0.05537340619307833,0.025223976631411574,2368,1614,Dorea,0.1,Cancer8
Eggerthella,0.0023679417122040077,0.0010786646946548723,1214,1061,Eggerthella,0.1,Cancer8
Erysipelatoclostridium,0.0012750455373406195,0.0005808176744698878,2826,1639,Erysipelatoclostridium,0.1,Cancer8
Faecalibacterium,0.020036429872495452,0.009127095352976036,1986,1472,Faecalibacterium,0.1,Cancer8
Flavonifractor,0.002003642987249545,0.0054732610001069285,1207,1105,Flavonifractor,0.1,Cancer8
Fusobacterium,0.0012750455373406195,0.0005808182825490717,2197,1602,Fusobacterium,0.1,Cancer8
Gordonibacter,0.0005464480874316941,0.003156196724822158,958,908,Gordonibacter,0.1,Cancer8
Holdemania,0.0005464480874316941,0.00345123608247374,1744,1218,Holdemania,0.1,Cancer8
Hungatella,0.0014571948998178509,0.0006637890387838039,1426,1211,Hungatella,0.1,Cancer8
Intestinibacter,0.00801457194899818,0.005519306779143862,1381,1161,Intestinibacter,0.1,Cancer8
Lachnoclostridium,0.009836065573770494,0.004480577211068127,3174,1970,Lachnoclostridium,0.1,Cancer8
Lactobacillus,0.0014571948998178509,0.0006637931722519191,3241,1907,Lactobacillus,0.1,Cancer8
Marvinbryantia,0.0010928961748633882,0.00301591215764247,1996,1375,Marvinbryantia,0.1,Cancer8
Megasphaera,0.07486338797814208,0.0369875407592313,1206,1068,Megasphaera,0.1,Cancer8
Odoribacter,0.0023679417122040077,0.001078664096328273,2526,1594,Odoribacter,0.1,Cancer8
Parabacteroides,0.01584699453551913,0.007218703276598987,2870,1747,Parabacteroides,0.1,Cancer8
Paraprevotella,0.0003642987249544627,0.00016595463023935393,1968,1391,Paraprevotella,0.1,Cancer8
Roseburia,0.014207650273224046,0.006471940496390335,2357,1567,Roseburia,0.1,Cancer8
Streptococcus,0.017122040072859748,0.007799517925319914,2896,1822,Streptococcus,0.1,Cancer8
Subdoligranulum,0.03770491803278689,0.017286146370748056,1731,1301,Subdoligranulum,0.1,Cancer8
Akkermansia,0.14192849404117008,1.562777685037986e-13,2274,1386,Akkermansia,,Healthy2
Alistipes,0.0027085590465872156,138.03611626387305,2650,1613,Alistipes,,Healthy2
Anaerostipes,0.010834236186348862,0.0,2034,1491,Anaerostipes,,Healthy2
Bacteroides,0.08829902491874322,0.0,3307,1887,Bacteroides,,Healthy2
Blautia,0.06365113759479958,0.0,3108,1818,Blautia,,Healthy2
Dorea,0.008938244853737811,0.0,2368,1614,Dorea,,Healthy2
Enterococcus,0.06879739978331528,0.0,2570,1790,Enterococcus,,Healthy2
Erysipelatoclostridium,0.0005417118093174432,0.0,2826,1639,Erysipelatoclostridium,,Healthy2
Faecalibacterium,0.14842903575297942,2.2681856393091948e-13,1986,1472,Faecalibacterium,,Healthy2
Flavonifractor,0.0010834236186348864,0.0,1207,1105,Flavonifractor,,Healthy2
Haemophilus,0.0138136511375948,8.592329971859833,1504,1246,Haemophilus,,Healthy2
Intestinibacter,0.0780065005417118,0.0,1381,1161,Intestinibacter,,Healthy2
Lachnospira,0.0065005417118093175,0.0,1163,1052,Lachnospira,,Healthy2
Marvinbryantia,0.004333694474539546,0.0,1996,1375,Marvinbryantia,,Healthy2
Parabacteroides,0.01679306608884074,0.0,2870,1747,Parabacteroides,,Healthy2
Parasutterella,0.004875406283856988,0.0,1080,1019,Parasutterella,,Healthy2
Roseburia,0.07638136511375948,0.0,2357,1567,Roseburia,,Healthy2
Subdoligranulum,0.060942578548212355,0.0,1731,1301,Subdoligranulum,,Healthy2
Terrisporobacter,0.15520043336944744,0.0,1329,1155,Terrisporobacter,,Healthy2
Veillonella,0.04794149512459372,0.0,1832,1405,Veillonella,,Healthy2
Akkermansia,0.14192849404117008,0.00010915911430657385,2274,1386,Akkermansia,1.0,Healthy2
Alistipes,0.0027085590465872156,4.628203196775066,2650,1613,Alistipes,1.0,Healthy2
Anaerostipes,0.010834236186348862,0.0007568295687252459,2034,1491,Anaerostipes,1.0,Healthy2
Bacteroides,0.08829902491874322,0.0003279870716420042,3307,1887,Bacteroides,1.0,Healthy2
Blautia,0.06365113759479958,8.93899480204657e-05,3108,1818,Blautia,1.0,Healthy2
Dorea,0.008938244853737811,0.001231773586636515,2368,1614,Dorea,1.0,Healthy2
Enterococcus,0.06879739978331528,0.00014582345909306438,2570,1790,Enterococcus,1.0,Healthy2
Erysipelatoclostridium,0.0005417118093174432,0.017288590964621823,2826,1639,Erysipelatoclostridium,1.0,Healthy2
Faecalibacterium,0.14842903575297942,0.017066802433427977,1986,1472,Faecalibacterium,1.0,Healthy2
Flavonifractor,0.0010834236186348864,0.008394282343318033,1207,1105,Flavonifractor,1.0,Healthy2
Haemophilus,0.0138136511375948,23.585719080365795,1504,1246,Haemophilus,1.0,Healthy2
Intestinibacter,0.0780065005417118,3.716687089101799e-05,1381,1161,Intestinibacter,1.0,Healthy2
Lachnospira,0.0065005417118093175,0.0016994694492226464,1163,1052,Lachnospira,1.0,Healthy2
Marvinbryantia,0.004333694474539546,0.0014916130772398837,1996,1375,Marvinbryantia,1.0,Healthy2
Parabacteroides,0.01679306608884074,6.059907344908941,2870,1747,Parabacteroides,1.0,Healthy2
Parasutterella,0.004875406283856988,5.059483293423334,1080,1019,Parasutterella,1.0,Healthy2
Roseburia,0.07638136511375948,0.0036780892001052113,2357,1567,Roseburia,1.0,Healthy2
Subdoligranulum,0.060942578548212355,6.334050454039903e-05,1731,1301,Subdoligranulum,1.0,Healthy2
Terrisporobacter,0.15520043336944744,1.6231534661690696e-09,1329,1155,Terrisporobacter,1.0,Healthy2
Veillonella,0.04794149512459372,0.02780328206229801,1832,1405,Veillonella,1.0,Healthy2
Akkermansia,0.14192849404117008,0.00011417210504844923,2274,1386,Akkermansia,0.9,Healthy2
Alistipes,0.0027085590465872156,2.483319729256426,2650,1613,Alistipes,0.9,Healthy2
Anaerostipes,0.010834236186348862,0.000275106292485292,2034,1491,Anaerostipes,0.9,Healthy2
Bacteroides,0.08829902491874322,0.0004025697795255725,3307,1887,Bacteroides,0.9,Healthy2
Blautia,0.06365113759479958,7.544053780598055e-05,3108,1818,Blautia,0.9,Healthy2
Dorea,0.008938244853737811,0.00035789766265510996,2368,1614,Dorea,0.9,Healthy2
Enterococcus,0.06879739978331528,5.019315410809691e-05,2570,1790,Enterococcus,0.9,Healthy2
Erysipelatoclostridium,0.0005417118093174432,0.003935471043178486,2826,1639,Erysipelatoclostridium,0.9,Healthy2
Faecalibacterium,0.14842903575297942,1.1915787489221664e-09,1986,1472,Faecalibacterium,0.9,Healthy2
Flavonifractor,0.0010834236186348864,0.00188896475351712,1207,1105,Flavonifractor,0.9,Healthy2
Haemophilus,0.0138136511375948,12.660297079340625,1504,1246,Haemophilus,0.9,Healthy2
Intestinibacter,0.0780065005417118,2.3753247140359126e-05,1381,1161,Intestinibacter,0.9,Healthy2
Lachnospira,0.0065005417118093175,0.00043502862156532326,1163,1052,Lachnospira,0.9,Healthy2
Marvinbryantia,0.004333694474539546,0.0004537577520364225,1996,1375,Marvinbryantia,0.9,Healthy2
Parabacteroides,0.01679306608884074,4.287787761070736,2870,1747,Parabacteroides,0.9,Healthy2
Parasutterella,0.004875406283856988,4.467883994181534,1080,1019,Parasutterella,0.9,Healthy2
Roseburia,0.07638136511375948,0.00618555798545084,2357,1567,Roseburia,0.9,Healthy2
Subdoligranulum,0.060942578548212355,2.264651759154256e-05,1731,1301,Subdoligranulum,0.9,Healthy2
Terrisporobacter,0.15520043336944744,0.011589903733863594,1329,1155,Terrisporobacter,0.9,Healthy2
Veillonella,0.04794149512459372,3.257727408435066,1832,1405,Veillonella,0.9,Healthy2
Akkermansia,0.14192849404117008,2.656884895530583e-05,2274,1386,Akkermansia,0.8,Healthy2
Alistipes,0.0027085590465872156,0.4846105565345827,2650,1613,Alistipes,0.8,Healthy2
Anaerostipes,0.010834236186348862,0.000276155281525444,2034,1491,Anaerostipes,0.8,Healthy2
Bacteroides,0.08829902491874322,2.536347889706501,3307,1887,Bacteroides,0.8,Healthy2
Blautia,0.06365113759479958,4.408108163589742e-05,3108,1818,Blautia,0.8,Healthy2
Dorea,0.008938244853737811,0.00032366917457307177,2368,1614,Dorea,0.8,Healthy2
Enterococcus,0.06879739978331528,2.4755782036317275e-05,2570,1790,Enterococcus,0.8,Healthy2
Erysipelatoclostridium,0.0005417118093174432,0.011365785626215034,2826,1639,Erysipelatoclostridium,0.8,Healthy2
Faecalibacterium,0.14842903575297942,0.0003692002347199484,1986,1472,Faecalibacterium,0.8,Healthy2
Flavonifractor,0.0010834236186348864,0.001614488477115179,1207,1105,Flavonifractor,0.8,Healthy2
Haemophilus,0.0138136511375948,2.46979180415575,1504,1246,Haemophilus,0.8,Healthy2
Intestinibacter,0.0780065005417118,2.351243011464767e-05,1381,1161,Intestinibacter,0.8,Healthy2
Lachnospira,0.0065005417118093175,0.00030638546559263584,1163,1052,Lachnospira,0.8,Healthy2
Marvinbryantia,0.004333694474539546,0.00034600574864297864,1996,1375,Marvinbryantia,0.8,Healthy2
Parabacteroides,0.01679306608884074,1.25558046026757,2870,1747,Parabacteroides,0.8,Healthy2
Parasutterella,0.004875406283856988,0.8718926499365641,1080,1019,Parasutterella,0.8,Healthy2
Roseburia,0.07638136511375948,3.274862673503452e-05,2357,1567,Roseburia,0.8,Healthy2
Subdoligranulum,0.060942578548212355,3.0624833466710115e-05,1731,1301,Subdoligranulum,0.8,Healthy2
Terrisporobacter,0.15520043336944744,6.640263159993969e-05,1329,1155,Terrisporobacter,0.8,Healthy2
Veillonella,0.04794149512459372,2.179828877414375,1832,1405,Veillonella,0.8,Healthy2
Akkermansia,0.14192849404117008,0.0002828610672859375,2274,1386,Akkermansia,0.7000000000000001,Healthy2
Alistipes,0.0027085590465872156,0.06468977355987421,2650,1613,Alistipes,0.7000000000000001,Healthy2
Anaerostipes,0.010834236186348862,0.0478113054107337,2034,1491,Anaerostipes,0.7000000000000001,Healthy2
Bacteroides,0.08829902491874322,0.9425428406729349,3307,1887,Bacteroides,0.7000000000000001,Healthy2
Blautia,0.06365113759479958,0.2703952163290229,3108,1818,Blautia,0.7000000000000001,Healthy2
Dorea,0.008938244853737811,0.03410587252220934,2368,1614,Dorea,0.7000000000000001,Healthy2
Enterococcus,0.06879739978331528,0.19565964701978358,2570,1790,Enterococcus,0.7000000000000001,Healthy2
Erysipelatoclostridium,0.0005417118093174432,0.004888983496886916,2826,1639,Erysipelatoclostridium,0.7000000000000001,Healthy2
Faecalibacterium,0.14842903575297942,0.4921279099933382,1986,1472,Faecalibacterium,0.7000000000000001,Healthy2
Flavonifractor,0.0010834236186348864,0.008463666585975044,1207,1105,Flavonifractor,0.7000000000000001,Healthy2
Haemophilus,0.0138136511375948,0.3218205095579895,1504,1246,Haemophilus,0.7000000000000001,Healthy2
Intestinibacter,0.0780065005417118,0.37362924953043225,1381,1161,Intestinibacter,0.7000000000000001,Healthy2
Lachnospira,0.0065005417118093175,0.014566531647229243,1163,1052,Lachnospira,0.7000000000000001,Healthy2
Marvinbryantia,0.004333694474539546,0.021186862591733024,1996,1375,Marvinbryantia,0.7000000000000001,Healthy2
Parabacteroides,0.01679306608884074,0.2442333882989794,2870,1747,Parabacteroides,0.7000000000000001,Healthy2
Parasutterella,0.004875406283856988,0.11358039426079498,1080,1019,Parasutterella,0.7000000000000001,Healthy2
Roseburia,0.07638136511375948,0.3257120140596834,2357,1567,Roseburia,0.7000000000000001,Healthy2
Subdoligranulum,0.060942578548212355,0.3321700894624368,1731,1301,Subdoligranulum,0.7000000000000001,Healthy2
Terrisporobacter,0.15520043336944744,0.2937265137407268,1329,1155,Terrisporobacter,0.7000000000000001,Healthy2
Veillonella,0.04794149512459372,0.5791816301917938,1832,1405,Veillonella,0.7000000000000001,Healthy2
Akkermansia,0.14192849404117008,0.4071841704811402,2274,1386,Akkermansia,0.6,Healthy2
Alistipes,0.0027085590465872156,0.008106980752438967,2650,1613,Alistipes,0.6,Healthy2
Anaerostipes,0.010834236186348862,0.03189253694034519,2034,1491,Anaerostipes,0.6,Healthy2
Bacteroides,0.08829902491874322,0.2591333431075136,3307,1887,Bacteroides,0.6,Healthy2
Blautia,0.06365113759479958,0.18588264225792805,3108,1818,Blautia,0.6,Healthy2
Dorea,0.008938244853737811,0.026342546842119376,2368,1614,Dorea,0.6,Healthy2
Enterococcus,0.06879739978331528,0.20069545043502832,2570,1790,Enterococcus,0.6,Healthy2
Erysipelatoclostridium,0.0005417118093174432,0.0016184201228746262,2826,1639,Erysipelatoclostridium,0.6,Healthy2
Faecalibacterium,0.14842903575297942,0.43315240838134833,1986,1472,Faecalibacterium,0.6,Healthy2
Flavonifractor,0.0010834236186348864,0.008513943478356698,1207,1105,Flavonifractor,0.6,Healthy2
Haemophilus,0.0138136511375948,0.04106763120912903,1504,1246,Haemophilus,0.6,Healthy2
Intestinibacter,0.0780065005417118,0.22790055338454807,1381,1161,Intestinibacter,0.6,Healthy2
Lachnospira,0.0065005417118093175,0.020102766342539158,1163,1052,Lachnospira,0.6,Healthy2
Marvinbryantia,0.004333694474539546,0.013025005855741638,1996,1375,Marvinbryantia,0.6,Healthy2
Parabacteroides,0.01679306608884074,0.0495361497552265,2870,1747,Parabacteroides,0.6,Healthy2
Parasutterella,0.004875406283856988,0.02007771863401803,1080,1019,Parasutterella,0.6,Healthy2
Roseburia,0.07638136511375948,0.22311515253887634,2357,1567,Roseburia,0.6,Healthy2
Subdoligranulum,0.060942578548212355,0.17813786903668927,1731,1301,Subdoligranulum,0.6,Healthy2
Terrisporobacter,0.15520043336944744,0.45241902197098705,1329,1155,Terrisporobacter,0.6,Healthy2
Veillonella,0.04794149512459372,0.1408451102614026,1832,1405,Veillonella,0.6,Healthy2
Akkermansia,0.14192849404117008,0.34418751920883306,2274,1386,Akkermansia,0.5,Healthy2
Alistipes,0.0027085590465872156,0.006568552129713049,2650,1613,Alistipes,0.5,Healthy2
Anaerostipes,0.010834236186348862,0.026273925593123144,2034,1491,Anaerostipes,0.5,Healthy2
Bacteroides,0.08829902491874322,0.21413215490688386,3307,1887,Bacteroides,0.5,Healthy2
Blautia,0.06365113759479958,0.15435913847176086,3108,1818,Blautia,0.5,Healthy2
Dorea,0.008938244853737811,0.02167599308250341,2368,1614,Dorea,0.5,Healthy2
Enterococcus,0.06879739978331528,0.1668391769535014,2570,1790,Enterococcus,0.5,Healthy2
Erysipelatoclostridium,0.0005417118093174432,0.0013143533521718057,2826,1639,Erysipelatoclostridium,0.5,Healthy2
Faecalibacterium,0.14842903575297942,0.35995204816392623,1986,1472,Faecalibacterium,0.5,Healthy2
Flavonifractor,0.0010834236186348864,0.009463950131877417,1207,1105,Flavonifractor,0.5,Healthy2
Haemophilus,0.0138136511375948,0.03349925135354677,1504,1246,Haemophilus,0.5,Healthy2
Intestinibacter,0.0780065005417118,0.18917190569426703,1381,1161,Intestinibacter,0.5,Healthy2
Lachnospira,0.0065005417118093175,0.017512341283780736,1163,1052,Lachnospira,0.5,Healthy2
